KMeans_ms 1 process: 0.895ms
										
Total lines processed: 293458					
Non-empty cells: 9915					
					
Cluster centroids (count	avgMag):				
Cluster 0: 11.86 4.92					
Cluster 1: 183.90 4.90					
Cluster 2: 640.09 4.92					
					
Cluster ranking:					
Rank 0: Cluster 0 (quiet)					
Rank 1: Cluster 1 (moderate)					
Rank 2: Cluster 2 (hotspot)					
					
Hotspot map:					
lat	lon	count	avgMag	cluster	label
-54.5	3.5	1	4.7	0	quiet
-54.5	4.5	3	5.043	0	quiet
-54.5	5.5	42	4.98	0	quiet
-54.5	6.5	17	4.918	0	quiet
-54.5	7.5	25	4.976	0	quiet
-54.5	8.5	10	5.185	0	quiet
-54.5	18.5	1	5.4	0	quiet
-54.5	111.5	1	6.21	0	quiet
-54.5	140.5	10	4.79	0	quiet
-54.5	141.5	6	4.583	0	quiet
-54.5	142.5	5	4.72	0	quiet
-54.5	143.5	27	5.356	0	quiet
-54.5	144.5	14	5.477	0	quiet
-54.5	145.5	3	5.5	0	quiet
-54.5	146.5	11	5.447	0	quiet
-54.5	147.5	2	5.55	0	quiet
-54.5	155.5	4	5.425	0	quiet
-54.5	157.5	3	5.133	0	quiet
-54.5	158.5	32	5.097	0	quiet
-54.5	159.5	13	5.069	0	quiet
-54.5	162.5	1	6.37	0	quiet
-53.5	-146.5	2	4.55	0	quiet
-53.5	-137.5	1	4.9	0	quiet
-53.5	-136.5	5	4.7	0	quiet
-53.5	-135.5	1	6.35	0	quiet
-53.5	-134.5	30	5.078	0	quiet
-53.5	-133.5	13	5.155	0	quiet
-53.5	-129.5	1	6.23	0	quiet
-53.5	-118.5	14	5.243	0	quiet
-53.5	-117.5	12	5.175	0	quiet
-53.5	-116.5	1	5.1	0	quiet
-53.5	-76.5	1	5.4	0	quiet
-53.5	-71.5	1	6.8	0	quiet
